Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.025, -0.990000009537,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
         0.05, -0.980000019073,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.075, -0.97000002861,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
          0.1, -0.959999978542,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.125, -0.949999988079,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
         0.15, -0.939999997616,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.175, -0.930000007153,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
          0.2, -0.920000016689,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.225, -0.910000026226,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
         0.25, -0.899999976158,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.275, -0.889999985695,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
          0.3, -0.879999995232,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.325, -0.870000004768,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
         0.35, -0.860000014305,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.375, -0.850000023842,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
          0.4, -0.839999973774,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.425, -0.829999983311,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
         0.45, -0.819999992847,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.475, -0.810000002384,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
          0.5, -0.800000011921,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.525, -0.790000021458,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
         0.55, -0.77999997139,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.575, -0.769999980927,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
          0.6, -0.759999990463,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.625,         -0.75,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
         0.65, -0.740000009537,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.675, -0.730000019073,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
          0.7, -0.72000002861,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.725, -0.709999978542,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
         0.75, -0.699999988079,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.775, -0.689999997616,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
          0.8, -0.680000007153,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.825, -0.670000016689,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
         0.85, -0.660000026226,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.875, -0.649999976158,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
          0.9, -0.639999985695,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.925, -0.629999995232,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
         0.95, -0.620000004768,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        0.975, -0.610000014305,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
            1, -0.600000023842,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        1.025, -0.589999973774,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
         1.05, -0.579999983311,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        1.075, -0.569999992847,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
          1.1, -0.560000002384,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        1.125, -0.550000011921,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
         1.15, -0.540000021458,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        1.175, -0.52999997139,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
          1.2, -0.519999980927,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        1.225, -0.509999990463,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
         1.25,          -0.5,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        1.275, -0.490000009537,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
          1.3, -0.479999989271,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        1.325, -0.469999998808,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
         1.35, -0.460000008345,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
        1.375, -0.449999988079,             0,             0, -3499.61694336,             0,          4000,             0, 38.3328170776,             0
          1.4, -0.439999997616,             0,             0, -3514.05151367,             0,          4000,             0,  38.511680603,             0
        1.425, -0.430000007153,             0,             0, -3528.48608398,             0,          4000,             0, 38.6905441284,             0
         1.45, -0.419999986887,             0,             0, -3542.9206543,             0,          4000,             0, 38.8694076538,             0
        1.475, -0.409999996424,             0,             0, -3557.35546875,             0,          4000,             0, 39.0482711792,             0
          1.5, -0.40000000596,             0,             0, -3571.79003906,             0,          4000,             0, 39.2271385193,             0
        1.525, -0.389999985695,             0,             0, -3587.3347168,             0,          4000,             0, 39.4197540283,             0
         1.55, -0.379999995232,             0,             0, -3602.87915039,             0,          4000,             0, 39.6123733521,             0
        1.575, -0.370000004768,             0,             0, -3618.42382812,             0,          4000,             0, 39.8049926758,             0
          1.6, -0.360000014305,             0,             0, -3633.96850586,             0,          4000,             0, 39.9976081848,             0
        1.625, -0.34999999404,             0,             0, -3649.51318359,             0,          4000,             0, 40.1902275085,             0
         1.65, -0.340000003576,             0,             0, -3666.15209961,             0,          4000,             0, 40.3964042664,             0
        1.675, -0.330000013113,             0,             0, -3682.79077148,             0,          4000,             0, 40.6025810242,             0
          1.7, -0.319999992847,             0,             0, -3699.4296875,             0,          4000,             0,  40.808757782,             0
        1.725, -0.310000002384,             0,             0, -3716.06860352,             0,          4000,             0, 41.0149345398,             0
         1.75, -0.300000011921,             0,             0, -3732.70727539,             0,          4000,             0, 41.2211112976,             0
        1.775, -0.289999991655,             0,             0, -3750.14941406,             0,          4000,             0, 41.4372406006,             0
          1.8, -0.280000001192,             0,             0, -3767.59130859,             0,          4000,             0, 41.6533699036,             0
        1.825, -0.270000010729,             0,             0, -3785.03344727,             0,          4000,             0, 41.8694992065,             0
         1.85, -0.259999990463,             0,             0, -3802.4753418,             0,          4000,             0, 42.0856285095,             0
        1.875,         -0.25,             0,             0, -3819.91748047,             0,          4000,             0, 42.3017578125,             0
          1.9, -0.239999994636,             0,             0, -3836.99194336,             0,          4000,             0, 42.5133361816,             0
        1.925, -0.230000004172,             0,             0, -3854.06640625,             0,          4000,             0, 42.7249107361,             0
         1.95, -0.219999998808,             0,             0, -3871.14086914,             0,          4000,             0, 42.9364852905,             0
        1.975, -0.209999993443,             0,             0, -3888.21557617,             0,          4000,             0,  43.148059845,             0
            2, -0.20000000298,             0,             0, -3905.29003906,             0,          4000,             0, 43.3596382141,             0
        2.025, -0.189999997616,             0,             0, -3917.58227539,             0,          4000,             0, 43.5119552612,             0
         2.05, -0.180000007153,             0,             0, -3929.87451172,             0,          4000,             0, 43.6642723083,             0
        2.075, -0.170000001788,             0,             0, -3942.16699219,             0,          4000,             0, 43.8165893555,             0
          2.1, -0.159999996424,             0,             0, -3954.45922852,             0,          4000,             0, 43.9689064026,             0
        2.125, -0.15000000596,             0,             0, -3966.75146484,             0,          4000,             0, 44.1212272644,             0
         2.15, -0.140000000596,             0,             0, -3955.0390625,             0,          4000,             0, 43.9760932922,             0
        2.175, -0.129999995232,             0,             0, -3943.32666016,             0,          4000,             0, 43.8309631348,             0
          2.2, -0.119999997318,             0,             0, -3931.61425781,             0,          4000,             0, 43.6858291626,             0
        2.225, -0.109999999404,             0,             0, -3919.90185547,             0,          4000,             0, 43.5406990051,             0
         2.25, -0.10000000149,             0,             0, -3908.18945312,             0,          4000,             0,  43.395565033,             0
        2.275, -0.0900000035763,             0,             0, -3763.50854492,             0,          4000,             0, 41.6027793884,             0
          2.3, -0.0799999982119,             0,             0, -3618.82763672,             0,          4000,             0, 39.8099937439,             0
        2.325, -0.070000000298,             0,             0, -3474.14672852,             0,          4000,             0, 38.0172080994,             0
         2.35, -0.0599999986589,             0,             0, -3329.46557617,             0,          4000,             0, 36.2244224548,             0
        2.375, -0.0500000007451,             0,             0, -3184.78466797,             0,          4000,             0, 34.4316368103,             0
          2.4, -0.0399999991059,             0,             0, -2638.29199219,             0,          4000,             0, 27.6598796844,             0
        2.425, -0.0299999993294,             0,             0, -2091.79931641,             0,          4000,             0, 20.8881225586,             0
         2.45, -0.019999999553,             0,             0, -1545.30664062,             0,          4000,             0, 14.1163644791,             0
        2.475, -0.00999999977648,             0,             0, -752.431335449,             0,          4000,             0, 4.29160547256,             0
          2.5, 7.52869988574e-16,             0,             0, 5.1230346354e-11,             0,          4000,             0, -5.03200006485,             0
        2.525, 0.00999999977648,             0,             0, 752.431335449,             0,          4000,             0, -14.3556051254,             0
         2.55, 0.019999999553,             0,             0, 1545.30664062,             0,          4000,             0, -24.1803646088,             0
        2.575, 0.0299999993294,             0,             0, 2091.79931641,             0,          4000,             0, -30.9521217346,             0
          2.6, 0.0399999991059,             0,             0, 2638.29199219,             0,          4000,             0, -37.7238807678,             0
        2.625, 0.0500000007451,             0,             0, 3184.78466797,             0,          4000,             0, -44.4956359863,             0
         2.65, 0.0599999986589,             0,             0, 3329.46557617,             0,          4000,             0, -46.2884216309,             0
        2.675, 0.070000000298,             0,             0, 3474.14672852,             0,          4000,             0, -48.0812072754,             0
          2.7, 0.0799999982119,             0,             0, 3618.82763672,             0,          4000,             0, -49.8739929199,             0
        2.725, 0.0900000035763,             0,             0, 3763.50854492,             0,          4000,             0, -51.6667785645,             0
         2.75, 0.10000000149,             0,             0, 3908.18945312,             0,          4000,             0, -53.459564209,             0
        2.775, 0.109999999404,             0,             0, 3919.90185547,             0,          4000,             0, -53.6046981812,             0
          2.8, 0.119999997318,             0,             0, 3931.61425781,             0,          4000,             0, -53.7498283386,             0
        2.825, 0.129999995232,             0,             0, 3943.32666016,             0,          4000,             0, -53.8949623108,             0
         2.85, 0.140000000596,             0,             0,  3955.0390625,             0,          4000,             0, -54.0400924683,             0
        2.875, 0.15000000596,             0,             0, 3966.75146484,             0,          4000,             0, -54.1852264404,             0
          2.9, 0.159999996424,             0,             0, 3954.45922852,             0,          4000,             0, -54.0329093933,             0
        2.925, 0.170000001788,             0,             0, 3942.16699219,             0,          4000,             0, -53.8805885315,             0
         2.95, 0.180000007153,             0,             0, 3929.87451172,             0,          4000,             0, -53.7282714844,             0
        2.975, 0.189999997616,             0,             0, 3917.58227539,             0,          4000,             0, -53.5759544373,             0
            3, 0.20000000298,             0,             0, 3905.29003906,             0,          4000,             0, -53.4236373901,             0
        3.025, 0.209999993443,             0,             0, 3888.21557617,             0,          4000,             0, -53.2120628357,             0
         3.05, 0.219999998808,             0,             0, 3871.14086914,             0,          4000,             0, -53.0004844666,             0
        3.075, 0.230000004172,             0,             0, 3854.06640625,             0,          4000,             0, -52.7889099121,             0
          3.1, 0.239999994636,             0,             0, 3836.99194336,             0,          4000,             0, -52.5773353577,             0
        3.125,          0.25,             0,             0, 3819.91748047,             0,          4000,             0, -52.3657569885,             0
         3.15, 0.259999990463,             0,             0,  3802.4753418,             0,          4000,             0, -52.1496276855,             0
        3.175, 0.270000010729,             0,             0, 3785.03344727,             0,          4000,             0, -51.9335021973,             0
          3.2, 0.280000001192,             0,             0, 3767.59130859,             0,          4000,             0, -51.7173728943,             0
        3.225, 0.289999991655,             0,             0, 3750.14941406,             0,          4000,             0, -51.5012435913,             0
         3.25, 0.300000011921,             0,             0, 3732.70727539,             0,          4000,             0, -51.2851142883,             0
        3.275, 0.310000002384,             0,             0, 3716.06860352,             0,          4000,             0, -51.0789375305,             0
          3.3, 0.319999992847,             0,             0,  3699.4296875,             0,          4000,             0, -50.8727607727,             0
        3.325, 0.330000013113,             0,             0, 3682.79077148,             0,          4000,             0, -50.6665840149,             0
         3.35, 0.340000003576,             0,             0, 3666.15209961,             0,          4000,             0, -50.4604034424,             0
        3.375, 0.34999999404,             0,             0, 3649.51318359,             0,          4000,             0, -50.2542266846,             0
          3.4, 0.360000014305,             0,             0, 3633.96850586,             0,          4000,             0, -50.0616111755,             0
        3.425, 0.370000004768,             0,             0, 3618.42382812,             0,          4000,             0, -49.8689918518,             0
         3.45, 0.379999995232,             0,             0, 3602.87915039,             0,          4000,             0, -49.6763725281,             0
        3.475, 0.389999985695,             0,             0,  3587.3347168,             0,          4000,             0, -49.483757019,             0
          3.5, 0.40000000596,             0,             0, 3571.79003906,             0,          4000,             0, -49.2911376953,             0
        3.525, 0.409999996424,             0,             0, 3557.35546875,             0,          4000,             0, -49.1122741699,             0
         3.55, 0.419999986887,             0,             0,  3542.9206543,             0,          4000,             0, -48.9334106445,             0
        3.575, 0.430000007153,             0,             0, 3528.48608398,             0,          4000,             0, -48.7545471191,             0
          3.6, 0.439999997616,             0,             0, 3514.05151367,             0,          4000,             0, -48.5756797791,             0
        3.625, 0.449999988079,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
         3.65, 0.460000008345,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        3.675, 0.469999998808,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
          3.7, 0.479999989271,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        3.725, 0.490000009537,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
         3.75,           0.5,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        3.775, 0.509999990463,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
          3.8, 0.519999980927,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        3.825, 0.52999997139,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
         3.85, 0.540000021458,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        3.875, 0.550000011921,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
          3.9, 0.560000002384,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        3.925, 0.569999992847,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
         3.95, 0.579999983311,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        3.975, 0.589999973774,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
            4, 0.600000023842,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.025, 0.610000014305,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
         4.05, 0.620000004768,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.075, 0.629999995232,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
          4.1, 0.639999985695,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.125, 0.649999976158,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
         4.15, 0.660000026226,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.175, 0.670000016689,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
          4.2, 0.680000007153,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.225, 0.689999997616,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
         4.25, 0.699999988079,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.275, 0.709999978542,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
          4.3, 0.72000002861,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.325, 0.730000019073,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
         4.35, 0.740000009537,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.375,          0.75,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
          4.4, 0.759999990463,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.425, 0.769999980927,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
         4.45, 0.77999997139,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.475, 0.790000021458,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
          4.5, 0.800000011921,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.525, 0.810000002384,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
         4.55, 0.819999992847,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.575, 0.829999983311,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
          4.6, 0.839999973774,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.625, 0.850000023842,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
         4.65, 0.860000014305,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.675, 0.870000004768,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
          4.7, 0.879999995232,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.725, 0.889999985695,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
         4.75, 0.899999976158,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.775, 0.910000026226,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
          4.8, 0.920000016689,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.825, 0.930000007153,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
         4.85, 0.939999997616,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.875, 0.949999988079,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
          4.9, 0.959999978542,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.925, 0.97000002861,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
         4.95, 0.980000019073,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
        4.975, 0.990000009537,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
            5,             1,             0,             0, 3499.61694336,             0,          4000,             0, -48.3968162537,             0
